Time_ns,r_34_110,E_34_110,COM_N_C,Interdomain_Angle,Radius_of_Gyration,Mean_r,StdDev_r,Kurtosis_r,Autocorrelation_r_lag0,Autocorrelation_r_lag1,Predicted_FRET_States
0.0,57.63667857161266,0.2988422946221125,35.66195008014371,113.39168601201844,9.600064380926169,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.01,58.32372596391374,0.2841606931282441,35.96445584394971,113.81613987567904,9.558253723632255,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.02,57.72135649901956,0.2969998696279192,35.78414205541728,110.73218302794544,9.569851663964082,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.03,58.58845152688163,0.2786661508716931,36.33941324149579,113.86193353786317,9.519077297277496,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.04,58.66084159994417,0.2771793354861019,36.05888553579021,111.34414685124864,9.52072815584334,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.05,55.982071926421526,0.336696451489799,35.84328704731924,107.68637992899625,9.518370415352194,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.06,57.25365132289798,0.3072919227598191,36.39980887952378,108.46963121295684,9.563145678714331,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.07,57.99852434419645,0.2910340200066547,36.21865429481623,111.92884888484164,9.545437717614409,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.08,55.84710075631735,0.3399386455562925,35.813477385431675,110.5481547129837,9.562260618366146,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.09,55.5450840183973,0.347276557876534,35.76743197392928,110.81189974742531,9.711301464951893,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.1,55.21295418613519,0.3554775437164156,35.56633659611818,109.47204759983391,9.492045467189913,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.11,56.24795032489372,0.3303771908919186,35.89433527124841,107.41501173847938,9.667330460208886,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.12,57.21618800487439,0.3081285385850017,35.93812019882233,113.23555690563512,9.69283976825302,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.13,55.64534155206076,0.3448279774969813,35.84355907949192,109.98747984113548,9.551601204435093,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.14,56.274021647486265,0.3297623790494079,35.75377195217189,111.15330916739488,9.602339192730916,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.15,55.40650308630339,0.3506817625936021,36.02554551086103,107.85708302079615,9.596741138409124,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.16,55.31117313404619,0.3530380660556667,35.890254613032646,111.90845217866296,9.626647143032754,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.17,55.9232217606578,0.3381072843303895,36.00005749769014,109.67230995913944,9.608145189365318,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.18,56.9534643645716,0.3140464334875677,36.25228276329558,110.29952312256688,9.611168001744932,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.19,54.90934831153111,0.36309323202288,36.14553578284045,110.24418313356524,9.516901042303587,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.2,55.9538894318513,0.3373715325297712,35.96564383514058,110.6347317253748,9.59928571677237,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.21,56.02071796884698,0.3357723617824256,36.075944264731554,111.18025266214386,9.573020797409784,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.22,56.01050731872839,0.3360163312134847,36.10948694473852,111.92692599374266,9.670301482443536,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.23,57.21162776357541,0.30823049971657,35.955773845806505,113.00687113180042,9.679673395887114,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.24,57.022544363560925,0.312481773848027,35.79801444587612,112.68242962285116,9.579676677769632,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.25,55.88446814764499,0.3390387263495163,35.699044948758775,109.917409948535,9.65202691951006,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.26,57.9427443354969,0.2922266727507496,35.671149095340986,114.99759275802693,9.64859613083649,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.27,57.68849409647511,0.2977137908302755,36.2160157165963,113.6014836113245,9.670373870350064,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.28,56.32583585069391,0.3285430722303449,36.10740902196774,110.32755225375443,9.534313591492923,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.29,56.35870088739341,0.3277714574200605,35.92424671084688,110.95225342156354,9.672400839393438,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.3,56.051061063142384,0.3350481348038515,36.004696368183446,109.36763306488577,9.802894652423651,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.31,56.67435374185266,0.3204307998805364,36.33163202424275,111.00444474106618,9.770075008844376,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.32,55.59874155440397,0.3459645209845499,35.865032499846315,108.27595220886104,9.71187036248474,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.33,54.25202631115114,0.3799632940658399,35.42195466471243,107.06235102220236,9.7197710219581,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.34,54.136651025068126,0.3829772009133573,35.48196114070003,106.04967311532472,9.565735244941548,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
0.35,53.980025010879885,0.3870934375677272,35.853752354997624,106.69941915208716,9.963423201879785,54.677052557242845,2.474950268958472,-0.2486395412994291,1.0,0.9195388238804116,0
