Feature,R²,Adjusted R²,Coefficient,t-value,p-value,95% CI Lower,95% CI Upper,F-statistic,F p-value,Pearson r,Pearson p-value
SASA_total,0.12108619153525091,0.1208419131004358,-0.004704900277610113,-22.264079574907328,5.505949125951434e-103,-0.005119224084456047,-0.00429057647076418,495.68923931783485,5.505949125872668e-103,-0.34797441218464775,5.505949125878219e-103
Hydrophobic_SASA,0.09921762550605617,0.09896726909291165,0.004258900830360957,19.907423440892007,9.675205954078672e-84,0.0038394542245185985,0.004678347436203315,396.30550805497614,9.675205954065927e-84,0.31498829423655783,9.675205954076999e-84
Hydrophilic_SASA,0.14260179888085023,0.1423635003257866,-0.005105821349409623,-24.462554010111173,2.195504308499901e-122,-0.005515042458929246,-0.00469660023989,598.4165486976548,2.1955043084510762e-122,-0.37762653360277837,2.1955043084538077e-122
Interdomain_Angle,0.607557417608265,0.6074483451840316,0.01053893623048563,74.63390765195192,0.0,0.010262079677775105,0.010815792783196153,5570.22017139946,0.0,0.7794596959485878,0.0
Radius_of_Gyration,0.049231629660553056,0.048967380530386406,-0.0030000273838171132,-13.64945536836461,2.147281030622928e-41,-0.003430954782021767,-0.0025690999856124593,186.30763185299097,2.147281030605929e-41,-0.22188201743393485,2.1472810306093602e-41
Phi_mean,5.5760371238000594e-05,-0.0002221563157072115,-0.00010096385889228968,-0.4479252206656434,0.65423413399625,-0.0005428950309023781,0.0003409673131177988,0.20063700330820333,0.6542341339969548,-0.007467286738706198,0.6542341339962858
Psi_mean,0.015302340638567058,0.015028661466982451,0.0016725613070139034,7.4775281970810585,9.462025016414937e-14,0.0012340122340135315,0.002111110380014275,55.913427938143656,9.462025016394575e-14,0.12370262987732794,9.46202501640648e-14
Torsion_angle,0.001348443666660204,0.0010708862580072198,-0.0004965003018259154,-2.2041441402416724,0.02757730461849228,-0.0009381457270058597,-5.4854876645971e-05,4.858251390962585,0.0275773046184364,-0.03672116102004695,0.02757730461847766
COM_N_C,0.66546207848636,0.6653690996310199,-0.011029727146562918,-84.59984326224773,0.0,-0.011285343963023397,-0.010774110330102438,7157.133479997125,0.0,-0.8157585908137039,0.0
