Time_ns,r_34_110,E_34_110,COM_N_C,Interdomain_Angle,Radius_of_Gyration,Mean_r,StdDev_r,Kurtosis_r,Autocorrelation_r_lag0,Autocorrelation_r_lag1
0.0,30.40753302945338,0.9518458503784946,35.66195008014371,17.8400693494946,9.600064380926169,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.01,32.519900361898785,0.9296303327410224,35.96445584394971,14.94611585828601,9.558253723632257,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.02,29.898238155642893,0.9562839973127214,35.78414205541728,18.68836655238084,9.569851663964082,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.03,30.234100762642022,0.9533947269867173,36.33941324149579,21.784646891066362,9.519077297277496,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.04,29.64590373576704,0.9583612775465282,36.05888553579021,15.944826531055835,9.52072815584334,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.05,30.101516146682066,0.9545524981371265,35.84328704731924,14.25467177828991,9.518370415352194,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.06,31.19604732187042,0.9442961011813155,36.39980887952378,14.630305376133265,9.563145678714331,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.07,30.61439165936097,0.9499466671017958,36.218654294816226,16.65181802701258,9.545437717614409,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.08,28.411503144521912,0.9674338426495672,35.813477385431675,18.340055972586832,9.562260618366146,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.09,27.40657963151591,0.9735949308465999,35.76743197392928,19.28908409046213,9.711301464951893,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.1,28.1329711969142,0.969245588817242,35.56633659611818,18.94278305096136,9.492045467189913,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.11,27.85452304971392,0.9709756390196723,35.89433527124841,16.671821099097308,9.667330460208886,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.12,28.73707215293158,0.965209809142106,35.93812019882233,17.013193130958065,9.692839768253021,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.13,27.622238314363656,0.9723586244324046,35.84355907949192,19.14344278106883,9.551601204435093,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.14,28.44796758327964,0.9671905109208095,35.75377195217189,17.358107200930107,9.602339192730916,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.15,28.87176124632086,0.9642552985478506,36.02554551086103,17.373883095194326,9.596741138409124,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.16,27.70419584459148,0.9718768160181477,35.890254613032646,18.113366507650273,9.626647143032754,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.17,29.56916283027826,0.9589774600511594,36.00005749769014,16.791453625732853,9.608145189365318,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.18,30.896017406065393,0.9472687356783851,36.25228276329558,17.002143917109755,9.611168001744932,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.19,27.329533958884397,0.9740257062310054,36.14553578284045,20.411087855794786,9.516901042303589,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.2,29.020970588634256,0.9631738550966191,35.96564383514058,17.66522372063068,9.59928571677237,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
0.21,31.484731900514422,0.9413165464965005,36.075944264731554,16.45104051764478,9.573020797409784,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252001
