Time_ns,r_34_110,E_34_110,COM_N_C,Interdomain_Angle,Radius_of_Gyration,Phi_mean,Psi_mean,Torsion_angle,B_factor_HNH,SASA_total,Hydrophobic_SASA,Hydrophilic_SASA,Mean_r,StdDev_r,Kurtosis_r,Autocorrelation_r_lag0,Autocorrelation_r_lag1,Predicted_FRET_States
0.0,30.40753302945338,0.9518458503784946,35.66195008014371,33.39334738240973,38.57801380924872,-67.51540703745934,-15.402767109643294,105.51021535167096,682.6304685753347,851.18774,115.55032798001776,479.98865384439705,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.02778,32.519900361898785,0.9296303327410224,35.96445584394971,33.152831473631394,38.6598414114454,-73.54115994164805,-11.006701902869558,117.96554550319838,682.6304685753347,849.40045,110.27804216539003,485.781485794038,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.05556,29.898238155642893,0.9562839973127214,35.78414205541728,33.231561239660486,38.68149207581814,-68.2697843007286,-14.28640271321656,118.7570755277544,682.6304685753347,854.0824,111.17854906978444,486.9987805876349,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.08334,30.234100762642026,0.9533947269867172,36.33941324149579,32.295376704787685,38.48662096929569,-72.14679885171444,-12.721937568998635,116.2711743518123,682.6304685753347,857.4425,112.40316969244618,491.5320505938,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.11112,29.64590373576704,0.9583612775465282,36.05888553579021,32.93689054631184,38.50638674205385,-70.30019342284974,-13.91007057869551,114.50375108021724,682.6304685753347,859.4506,113.2111812709675,490.09457159444537,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.1389,30.101516146682066,0.9545524981371264,35.84328704731924,33.029105657694764,38.56562583653037,-69.01236253531017,-15.690066136034952,108.12392167204506,682.6304685753347,856.0488,114.32771405271214,485.8002637467303,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.16668,31.19604732187042,0.9442961011813156,36.39980887952378,32.9953217078639,38.603597013592335,-68.47684024696416,-15.579579664876231,120.31385109609457,682.6304685753347,859.5669,117.4845757550161,487.8858249872171,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.19446,30.61439165936097,0.9499466671017958,36.21865429481623,33.26149594536441,38.50649967635023,-71.58650505525185,-12.93720144393858,130.63037614549845,682.6304685753347,847.498,116.03982597094178,475.7948249077909,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.22224,28.411503144521912,0.9674338426495672,35.813477385431675,33.409681976923565,38.52982087616459,-69.74729790949756,-15.92350814351769,125.75283105025788,682.6304685753347,847.7148,117.06172445435796,477.6985214050441,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.25002,27.40657963151591,0.9735949308466,35.76743197392928,33.49621302497312,38.46992609807363,-73.42394578087604,-11.390025338958363,124.4170102603846,682.6304685753347,850.10645,114.8794584509272,482.14680066588846,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.2778,28.1329711969142,0.969245588817242,35.56633659611818,33.68590061731226,38.599000684111054,-73.49810049492127,-10.267747297246226,133.73232138465684,682.6304685753347,852.7324,113.32866563424643,485.2885100613476,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.3055799999999999,27.85452304971392,0.9709756390196724,35.89433527124841,33.461174833491924,38.47482770316533,-68.50969439171034,-14.633882200769197,131.0986840212458,682.6304685753347,860.1549,116.2999793734325,488.17700184752334,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.33336,28.73707215293158,0.965209809142106,35.93812019882233,33.762439449794655,38.48841592943662,-74.33711981336567,-9.9419928640015,112.75521690887696,682.6304685753347,860.3354,115.15662041077196,491.4105356343436,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.36114,27.622238314363656,0.9723586244324046,35.84355907949192,32.84982195160786,38.38372139129739,-70.588962481218,-14.667120692178177,146.87374636709157,682.6304685753347,854.09296,113.38039595731505,487.68087144116646,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.38892,28.44796758327964,0.9671905109208097,35.75377195217189,33.167979453109176,38.38351257045485,-69.39732729508013,-14.469458076618803,129.75255414921685,682.6304685753347,853.2765,115.74580108268492,485.2360420699427,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.4166999999999999,28.87176124632086,0.9642552985478506,36.02554551086103,33.41538975639892,38.46808795511832,-71.06289999737888,-13.443106397823156,132.55307491646656,682.6304685753347,859.8144,118.64876272178678,489.9217009584663,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.44448,27.70419584459148,0.9718768160181476,35.890254613032646,33.506754857548515,38.3797915891078,-69.83104829769665,-13.860679870382716,124.95215487727384,682.6304685753347,856.23645,115.39595817448983,490.2417987442284,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
0.47226,29.56916283027826,0.9589774600511594,36.00005749769014,33.37411414031739,38.426164983676216,-70.49725068529075,-12.585136023326456,143.81571376521327,682.6304685753347,860.06946,111.42034436054944,494.9142399316795,21.03100919985247,4.677453514910371,-0.7980332076449108,1.0,0.9664085691252,1.0
